name,timestamp,angry,disgust,fear,happy,sad,surprise,neutral
Cha Tae Sik,1010,0,0,0,0,100,0,0
Cha Tae Sik,1018,0,0,0,0,100,0,0
Cha Tae Sik,1042,0,0,0,0,100,0,0
Cha Tae Sik,1045,0,0,0,80.2,19.8,0,0
Cha Tae Sik,1046,0,0,0,99.7,0.3,0,0
Cha Tae Sik,1049,0,0,0,100,0,0,0
Cha Tae Sik,1050,0,0,0,98.8,1.1,0,0.1
Cha Tae Sik,1051,0,0,0,78.9,6.6,0,14.5
Cha Tae Sik,1052,0,0,0,0,82.4,0,17.6
Cha Tae Sik,1053,0,0,0,0,100,0,0
Cha Tae Sik,1072,0,0,0,0,100,0,0
Cha Tae Sik,1103,0,0,3,0,96.1,0,0.9
Cha Tae Sik,1109,0.2,0,2.3,0,13.7,0,83.8
Jeong So Mi,1116,0,0,96.4,0,3.6,0,0
Jeong So Mi,1117,3.7,0,84.4,0,11.9,0,0
Jeong So Mi,1118,0,0,1.5,0,98.5,0,0
Cha Tae Sik,1120,0.2,0,0.5,0.1,3.7,0,95.6
Jeong So Mi,1125,0.3,0,98.2,0,1.5,0,0
Cha Tae Sik,1126,0,0,0,0,17.2,0,82.7
Jeong So Mi,1128,0,0,100,0,0,0,0
Jeong So Mi,1132,0,0,99.9,0,0.1,0,0
Jeong So Mi,1145,0,0,0,0,100,0,0
Cha Tae Sik,1151,0.1,0,0.1,0,30.2,0,69.7
Jeong So Mi,1153,0,0,99.9,0,0.1,0,0
Jeong So Mi,1155,0,0,75.3,0,24.7,0,0
Jeong So Mi,1156,0,0,87.8,0,12.2,0,0
Jeong So Mi,1157,0,0,99.2,0,0.8,0,0
Jeong So Mi,1158,0,0,0.6,0,99.4,0,0
Cha Tae Sik,1159,0,0,0,0,5,0,95
Cha Tae Sik,1160,0,0,50.4,0,35.1,0,14.4
Jeong So Mi,1166,0,0,16.3,0.3,70.8,0,12.6
Lam Loan,1183,0.2,0,3.6,0.1,77.6,0,18.5
Jong Seok,1191,0,0,3,0,0.2,0,96.7
Jong Seok,1201,28,0,0.3,0,71.2,0,0.4
Jong Seok,1202,5.5,0,0.6,0.2,93.1,0,0.5
Jong Seok,1204,0,0,5.6,0,94.3,0,0.1
Jong Seok,1205,0,0,0,2.2,97.8,0,0
Man Seok,1210,33.3,0,43.1,2.3,2,12.1,7.2
Man Seok,1211,1.1,0,0.1,0.5,63.1,0,35.2
Jong Seok,1212,0.5,0,0.2,0,80.9,0,18.4
Man Seok,1217,1.5,0,94,0,4.4,0,0.1
Man Seok,1220,0,0,79,0,21,0,0
Jong Seok,1221,0,0,0,1.6,0.5,0,97.9
Man Seok,1227,0.2,0,83.6,0,5.4,0,10.8
Man Seok,1228,0.1,0,99.9,0,0,0,0
Old Man,1241,75.5,0,0,13.3,0.9,0,10.3
Old Man,1245,7,0,0,0,68.3,0,24.7
Jeong So Mi,1246,0,0,0.1,0,99.9,0,0
Jeong So Mi,1255,67.3,0.1,1.2,1.8,13.8,2.8,13
Cha Tae Sik,1258,0,0,37.5,0,62.5,0,0
Cha Tae Sik,1263,0.1,0,26.7,1.8,68.9,0,2.5
Jeong So Mi,1267,19,0,26.6,0,51.7,0,2.7
Jeong So Mi,1271,0.1,0,8.5,0,91.4,0,0
Cha Tae Sik,1275,0,0,0,0,1.8,0,98.2
Old Man,1276,0,0,0,0,1.2,0,98.7
Cha Tae Sik,1279,0,0,0,0,4.1,0,95.8
Cha Tae Sik,1282,45.7,0,0,0,10.9,0,43.4
Old Man,1284,97.1,0,0,0,1.6,0,1.3
Cha Tae Sik,1292,53,0,0,0,7.5,0,39.5
Old Man,1299,0.6,0,0.3,0,55.6,0,43.5
Cha Tae Sik,1305,0.8,0,0,0,98.8,0,0.4
Jeong So Mi,1317,47.2,0,0,0.9,38,0.6,13.3
Cha Tae Sik,1329,5.9,0,0.1,0,91.5,0,2.5
Jeong So Mi,1334,12.6,0,0,0.1,76,0,11.4
Cha Tae Sik,1346,0.3,0,0.1,0,99.5,0,0
Jeong So Mi,1358,0.1,0,0,0,0.3,0,99.6
Jeong So Mi,1359,0,0,0,0,0,0,100
Cha Tae Sik,1361,1.7,0,0.1,0,97,0,1.2
Jeong So Mi,1363,1.9,0,0.6,0.2,2.1,0,95.2
Jeong So Mi,1365,0.2,0,0,0,0.2,0,99.7
Cha Tae Sik,1368,0,0,0.1,0,95.1,0,4.8
Cha Tae Sik,1369,0.1,0,6.3,0,93.4,0,0.2
Jeong So Mi,1370,0.1,0,0.1,0.8,0.3,0.1,98.7
Jeong So Mi,1380,6.1,0,0.1,0,2.9,0,90.9
Cha Tae Sik,1387,0.7,0,13.2,0,77.9,0,8.3
Jeong So Mi,1390,0,0,0,0,0.2,0,99.8
Cha Tae Sik,1394,0.8,0,5.5,0,80.7,0,13
Jeong So Mi,1397,0.3,0,0,0.3,1.4,0,97.9
Jeong So Mi,1398,0,0,0,0.1,0.2,0,99.7
Jeong So Mi,1399,1.2,0,0.8,4.3,3.7,0.1,89.9
Cha Tae Sik,1412,0,0,0,0,95,0,4.9
Jeong So Mi,1414,0,0,0,0,100,0,0
Cha Tae Sik,1422,0,0,0,0,88.7,0,11.3
Jeong So Mi,1432,2,0,0,0,97.5,0,0.5
Jeong So Mi,1437,0.1,0,0,0,2.7,0,97.2
Jong Seok,1443,0.1,0,0.5,0.2,0,91,8.1
Park Hyo Jeong,1443,0.3,0,76.4,6.2,6.5,0.5,10
Jong Seok,1449,2.6,0,2.3,0.1,94.6,0,0.3
Jeong So Mi,1450,0,0,0,0,0.1,0,99.9
Jeong So Mi,1458,0,0,0,0,0.2,0,99.8
Jeong So Mi,1459,0,0,0,0,0,0,100
Jeong So Mi,1463,0,0,0.1,0,80.1,0,19.9
Lam Loan,1464,3.6,0,0,0,16.2,0,80.2
Park Hyo Jeong,1465,0.4,0,0.1,0,99.4,0,0
Jeong So Mi,1466,0.1,0,0,0,0,0,99.9
Lam Loan,1476,0,0,0.1,0.1,3.7,0,96
Park Hyo Jeong,1480,0.1,0,0,0.6,0.3,0,99
Cha Tae Sik,1487,0,0,0,0,99.9,0,0
Cha Tae Sik,1499,6.7,0,0.1,0.2,85.2,0,7.8
Cha Tae Sik,1500,0,0,0.2,0,87.6,0,12.3
Bear,1501,12.2,0,3.5,0,47.2,0,37.2
Kim Do Chi,1501,0,0,0,88.7,0,0,11.2
Kim Do Chi,1506,3,0,1.8,0,88.5,0,6.6
Cha Tae Sik,1507,0,0,0,0,6.1,0,93.9
Kim Do Chi,1509,1.8,0,0.3,0,84.3,0,13.7
Cha Tae Sik,1512,0,0,0,0,12.4,0,87.6
Kim Do Chi,1518,4.7,0,15.2,50.7,12,0.6,16.8
